"Works Package","Description (Inclusions & Exclusions)"
"4.1.2 - Domestic kitchen fittings and equipment","Context: Belongs to Group Element: 'Fittings, furnishings and equipment' -> Element: 'Fittings, furnishings and equipment'. Scope: Includes materials and labour for Domestic kitchen fittings and equipment."
"4.1.3 - Special-purpose fittings, furnishings and equipment","Context: Belongs to Group Element: 'Fittings, furnishings and equipment' -> Element: 'Fittings, furnishings and equipment'. Scope: Includes materials and labour for Special-purpose fittings, furnishings and equipment."
"4.1.4 - Signs/notices","Context: Belongs to Group Element: 'Fittings, furnishings and equipment' -> Element: 'Fittings, furnishings and equipment'. Scope: Includes materials and labour for Signs/notices."
"4.1.5 - Works of art","Context: Belongs to Group Element: 'Fittings, furnishings and equipment' -> Element: 'Fittings, furnishings and equipment'. Scope: Includes materials and labour for Works of art."
"4.1.6 - Non-mechanical and non-electrical equipment","Context: Belongs to Group Element: 'Fittings, furnishings and equipment' -> Element: 'Fittings, furnishings and equipment'. Scope: Includes materials and labour for Non-mechanical and non-electrical equipment."
"4.1.7 - Internal planting","Context: Belongs to Group Element: 'Fittings, furnishings and equipment' -> Element: 'Fittings, furnishings and equipment'. Scope: Includes materials and labour for Internal planting."
"4.1.8 - Bird and vermin control","Context: Belongs to Group Element: 'Fittings, furnishings and equipment' -> Element: 'Fittings, furnishings and equipment'. Scope: Includes materials and labour for Bird and vermin control."
"5.1.1 - Sanitary appliances","Context: Belongs to Group Element: 'Services' -> Element: 'Sanitary installations'. Scope: Includes materials and labour for Sanitary appliances."
"5.1.2 - Sanitary ancillaries","Context: Belongs to Group Element: 'Services' -> Element: 'Sanitary installations'. Scope: Includes materials and labour for Sanitary ancillaries."
"5.2.1 - Services equipment","Context: Belongs to Group Element: 'Services' -> Element: 'Services equipment'. Scope: Includes materials and labour for Services equipment."
"5.3.1 - Foul drainage above ground","Context: Belongs to Group Element: 'Services' -> Element: 'Disposal installations'. Scope: Includes materials and labour for Foul drainage above ground."
"5.3.2 - Chemical, toxic and industrial liquid waste drainage","Context: Belongs to Group Element: 'Services' -> Element: 'Disposal installations'. Scope: Includes materials and labour for Chemical, toxic and industrial liquid waste drainage."
"5.3.3 - Refuse disposal","Context: Belongs to Group Element: 'Services' -> Element: 'Disposal installations'. Scope: Includes materials and labour for Refuse disposal."
"5.4.1 - Mains water supply","Context: Belongs to Group Element: 'Services' -> Element: 'Water installations'. Scope: Includes materials and labour for Mains water supply."
"5.4.2 - Cold water distribution","Context: Belongs to Group Element: 'Services' -> Element: 'Water installations'. Scope: Includes materials and labour for Cold water distribution."
"5.4.3 - Hot water distribution","Context: Belongs to Group Element: 'Services' -> Element: 'Water installations'. Scope: Includes materials and labour for Hot water distribution."
"5.4.4 - Local hot water distribution","Context: Belongs to Group Element: 'Services' -> Element: 'Water installations'. Scope: Includes materials and labour for Local hot water distribution."
"5.4.5 - Steam and condensate distribution","Context: Belongs to Group Element: 'Services' -> Element: 'Water installations'. Scope: Includes materials and labour for Steam and condensate distribution."
"5.5.1 - Heat source","Context: Belongs to Group Element: 'Services' -> Element: 'Heat source'. Scope: Includes materials and labour for Heat source."
"5.6.1 - Central heating systems","Context: Belongs to Group Element: 'Services' -> Element: 'Space heating and air conditioning systems'. Scope: Includes materials and labour for Central heating systems."
"5.6.2 - Local heating systems","Context: Belongs to Group Element: 'Services' -> Element: 'Space heating and air conditioning systems'. Scope: Includes materials and labour for Local heating systems."
"5.6.3 - Central cooling systems","Context: Belongs to Group Element: 'Services' -> Element: 'Space heating and air conditioning systems'. Scope: Includes materials and labour for Central cooling systems."
"5.6.4 - Local cooling systems","Context: Belongs to Group Element: 'Services' -> Element: 'Space heating and air conditioning systems'. Scope: Includes materials and labour for Local cooling systems."
"5.6.5 - Central heating and cooling systems","Context: Belongs to Group Element: 'Services' -> Element: 'Space heating and air conditioning systems'. Scope: Includes materials and labour for Central heating and cooling systems."
"5.6.6 - Local heating and cooling systems","Context: Belongs to Group Element: 'Services' -> Element: 'Space heating and air conditioning systems'. Scope: Includes materials and labour for Local heating and cooling systems."
"5.6.7 - Central air conditioning systems","Context: Belongs to Group Element: 'Services' -> Element: 'Space heating and air conditioning systems'. Scope: Includes materials and labour for Central air conditioning systems."
"5.6.8 - Local air conditioning systems","Context: Belongs to Group Element: 'Services' -> Element: 'Space heating and air conditioning systems'. Scope: Includes materials and labour for Local air conditioning systems."
"5.7.1 - Central ventilation systems","Context: Belongs to Group Element: 'Services' -> Element: 'Ventilation systems'. Scope: Includes materials and labour for Central ventilation systems."
"5.7.2 - Local and special ventilation systems","Context: Belongs to Group Element: 'Services' -> Element: 'Ventilation systems'. Scope: Includes materials and labour for Local and special ventilation systems."
"5.7.3 - Smoke extraction/control systems","Context: Belongs to Group Element: 'Services' -> Element: 'Ventilation systems'. Scope: Includes materials and labour for Smoke extraction/control systems."
"5.8.1 - Electrical mains and sub-mains distribution","Context: Belongs to Group Element: 'Services' -> Element: 'Electrical installations'. Scope: Includes materials and labour for Electrical mains and sub-mains distribution."
"5.8.2 - Power installations","Context: Belongs to Group Element: 'Services' -> Element: 'Electrical installations'. Scope: Includes materials and labour for Power installations."
"5.8.3 - Lighting installations","Context: Belongs to Group Element: 'Services' -> Element: 'Electrical installations'. Scope: Includes materials and labour for Lighting installations."
"5.8.4 - Specialist lighting installations","Context: Belongs to Group Element: 'Services' -> Element: 'Electrical installations'. Scope: Includes materials and labour for Specialist lighting installations."
"5.8.5 - Local electricity generation systems","Context: Belongs to Group Element: 'Services' -> Element: 'Electrical installations'. Scope: Includes materials and labour for Local electricity generation systems."
"5.8.6 - Earthing and bonding systems","Context: Belongs to Group Element: 'Services' -> Element: 'Electrical installations'. Scope: Includes materials and labour for Earthing and bonding systems."
"5.9.1 - Fuel storage","Context: Belongs to Group Element: 'Services' -> Element: 'Fuel installations'. Scope: Includes materials and labour for Fuel storage."
"5.9.2 - Fuel distribution systems","Context: Belongs to Group Element: 'Services' -> Element: 'Fuel installations'. Scope: Includes materials and labour for Fuel distribution systems."
"5.10.1 - Lifts and enclosed hoists","Context: Belongs to Group Element: 'Services' -> Element: 'Lift and conveyor installations'. Scope: Includes materials and labour for Lifts and enclosed hoists."
"5.10.2 - Escalators","Context: Belongs to Group Element: 'Services' -> Element: 'Lift and conveyor installations'. Scope: Includes materials and labour for Escalators."
"5.10.3 - Moving pavements","Context: Belongs to Group Element: 'Services' -> Element: 'Lift and conveyor installations'. Scope: Includes materials and labour for Moving pavements."
"5.10.4 - Powered stairlifts","Context: Belongs to Group Element: 'Services' -> Element: 'Lift and conveyor installations'. Scope: Includes materials and labour for Powered stairlifts."
"5.10.5 - Conveyors","Context: Belongs to Group Element: 'Services' -> Element: 'Lift and conveyor installations'. Scope: Includes materials and labour for Conveyors."
"5.10.6 - Dock levellers and scissor lifts","Context: Belongs to Group Element: 'Services' -> Element: 'Lift and conveyor installations'. Scope: Includes materials and labour for Dock levellers and scissor lifts."
"5.10.7 - Cranes and unenclosed hoists","Context: Belongs to Group Element: 'Services' -> Element: 'Lift and conveyor installations'. Scope: Includes materials and labour for Cranes and unenclosed hoists."
"5.10.8 - Car lifts, car stacking systems, turntables, etc","Context: Belongs to Group Element: 'Services' -> Element: 'Lift and conveyor installations'. Scope: Includes materials and labour for Car lifts, car stacking systems, turntables, etc."
"5.10.9 - Document handling systems","Context: Belongs to Group Element: 'Services' -> Element: 'Lift and conveyor installations'. Scope: Includes materials and labour for Document handling systems."
"5.10.10 - Other lift and conveyor installations","Context: Belongs to Group Element: 'Services' -> Element: 'Lift and conveyor installations'. Scope: Includes materials and labour for Other lift and conveyor installations."
"5.11.1 - Firefighting systems","Context: Belongs to Group Element: 'Services' -> Element: 'Fire and lightning protection'. Scope: Includes materials and labour for Firefighting systems."
"5.11.2 - Fire suppression systems","Context: Belongs to Group Element: 'Services' -> Element: 'Fire and lightning protection'. Scope: Includes materials and labour for Fire suppression systems."
"5.11.3 - Lightning protection","Context: Belongs to Group Element: 'Services' -> Element: 'Fire and lightning protection'. Scope: Includes materials and labour for Lightning protection."
"5.12.1 - Communication systems","Context: Belongs to Group Element: 'Services' -> Element: 'Communication, security and control systems'. Scope: Includes materials and labour for Communication systems."
"5.12.2 - Security systems","Context: Belongs to Group Element: 'Services' -> Element: 'Communication, security and control systems'. Scope: Includes materials and labour for Security systems."
"5.12.3 - Central control/building management systems","Context: Belongs to Group Element: 'Services' -> Element: 'Communication, security and control systems'. Scope: Includes materials and labour for Central control/building management systems."
"5.13.1 - Specialist piped supply installations","Context: Belongs to Group Element: 'Services' -> Element: 'Specialist installations'. Scope: Includes materials and labour for Specialist piped supply installations."
"5.13.2 - Specialist refrigeration systems","Context: Belongs to Group Element: 'Services' -> Element: 'Specialist installations'. Scope: Includes materials and labour for Specialist refrigeration systems."
"5.13.3 - Specialist mechanical installations","Context: Belongs to Group Element: 'Services' -> Element: 'Specialist installations'. Scope: Includes materials and labour for Specialist mechanical installations."
"5.13.4 - Specialist electrical/electronic installations","Context: Belongs to Group Element: 'Services' -> Element: 'Specialist installations'. Scope: Includes materials and labour for Specialist electrical/electronic installations."
"5.13.5 - Water features","Context: Belongs to Group Element: 'Services' -> Element: 'Specialist installations'. Scope: Includes materials and labour for Water features."
"5.14.1 - Builder's work in connection with services","Context: Belongs to Group Element: 'Services' -> Element: 'Builder's work in connection with services'. Scope: Includes materials and labour for Builder's work in connection with services."
"6.1.1 - Complete buildings","Context: Belongs to Group Element: 'Prefabricated buildings and building units' -> Element: 'Prefabricated buildings and building units'. Scope: Includes materials and labour for Complete buildings."
"6.1.2 - Building units","Context: Belongs to Group Element: 'Prefabricated buildings and building units' -> Element: 'Prefabricated buildings and building units'. Scope: Includes materials and labour for Building units."
"6.1.3 - Pods","Context: Belongs to Group Element: 'Prefabricated buildings and building units' -> Element: 'Prefabricated buildings and building units'. Scope: Includes materials and labour for Pods."
"7.1.1 - Minor demolition and alteration works","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Minor demolition and alteration works'. Scope: Includes materials and labour for Minor demolition and alteration works."
"7.2.1 - Repairs to existing services","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Repairs to existing services'. Scope: Includes materials and labour for Repairs to existing services."
"7.3.1 - Damp-proof courses","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Damp-proof courses/fungus and beetle eradication'. Scope: Includes materials and labour for Damp-proof courses."
"7.3.2 - Fungus/beetle eradication","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Damp-proof courses/fungus and beetle eradication'. Scope: Includes materials and labour for Fungus/beetle eradication."
"7.4.1 - Facade retention","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Facade retention'. Scope: Includes materials and labour for Facade retention."
"7.5.1 - Cleaning","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Cleaning existing surfaces'. Scope: Includes materials and labour for Cleaning."
"7.5.2 - Protective coatings","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Cleaning existing surfaces'. Scope: Includes materials and labour for Protective coatings."
"7.6.1 - Masonry repairs","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Renovation works'. Scope: Includes materials and labour for Masonry repairs."
"7.6.2 - Concrete repairs","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Renovation works'. Scope: Includes materials and labour for Concrete repairs."
"7.6.3 - Metal repairs","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Renovation works'. Scope: Includes materials and labour for Metal repairs."
"7.6.4 - Timber repairs","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Renovation works'. Scope: Includes materials and labour for Timber repairs."
"7.6.5 - Plastics repairs","Context: Belongs to Group Element: 'Work to existing buildings' -> Element: 'Renovation works'. Scope: Includes materials and labour for Plastics repairs."
"8.1.1 - Site clearance","Context: Belongs to Group Element: 'External works' -> Element: 'Site preparation works'. Scope: Includes materials and labour for Site clearance."
"8.1.2 - Preparatory groundworks","Context: Belongs to Group Element: 'External works' -> Element: 'Site preparation works'. Scope: Includes materials and labour for Preparatory groundworks."
"8.2.1 - Roads, paths and pavings","Context: Belongs to Group Element: 'External works' -> Element: 'Roads, paths, pavings and surfacings'. Scope: Includes materials and labour for Roads, paths and pavings."
"8.2.2 - Special surfacings and pavings","Context: Belongs to Group Element: 'External works' -> Element: 'Roads, paths, pavings and surfacings'. Scope: Includes materials and labour for Special surfacings and pavings."
"8.3.1 - Seeding and turfing","Context: Belongs to Group Element: 'External works' -> Element: 'Soft landscaping, planting and irrigation systems'. Scope: Includes materials and labour for Seeding and turfing."
"8.3.2 - External planting","Context: Belongs to Group Element: 'External works' -> Element: 'Soft landscaping, planting and irrigation systems'. Scope: Includes materials and labour for External planting."
"8.3.3 - Irrigation systems","Context: Belongs to Group Element: 'External works' -> Element: 'Soft landscaping, planting and irrigation systems'. Scope: Includes materials and labour for Irrigation systems."
"8.4.1 - Fencing and railings","Context: Belongs to Group Element: 'External works' -> Element: 'Fencing, railings and walls'. Scope: Includes materials and labour for Fencing and railings."
"8.4.2 - Walls and screens","Context: Belongs to Group Element: 'External works' -> Element: 'Fencing, railings and walls'. Scope: Includes materials and labour for Walls and screens."
"8.4.3 - Retaining walls","Context: Belongs to Group Element: 'External works' -> Element: 'Fencing, railings and walls'. Scope: Includes materials and labour for Retaining walls."
"8.4.4 - Barriers and guardrails","Context: Belongs to Group Element: 'External works' -> Element: 'Fencing, railings and walls'. Scope: Includes materials and labour for Barriers and guardrails."
"8.5.1 - Site/street furniture and equipment","Context: Belongs to Group Element: 'External works' -> Element: 'External fixtures'. Scope: Includes materials and labour for Site/street furniture and equipment."
"8.5.2 - Ornamental features","Context: Belongs to Group Element: 'External works' -> Element: 'External fixtures'. Scope: Includes materials and labour for Ornamental features."
"8.6.1 - Surface water and foul water drainage","Context: Belongs to Group Element: 'External works' -> Element: 'External drainage'. Scope: Includes materials and labour for Surface water and foul water drainage."
"8.6.2 - Ancillary drainage systems","Context: Belongs to Group Element: 'External works' -> Element: 'External drainage'. Scope: Includes materials and labour for Ancillary drainage systems."
"8.6.3 - External chemical, toxic and industrial liquid waste drainage","Context: Belongs to Group Element: 'External works' -> Element: 'External drainage'. Scope: Includes materials and labour for External chemical, toxic and industrial liquid waste drainage."
"8.6.4 - Land drainage","Context: Belongs to Group Element: 'External works' -> Element: 'External drainage'. Scope: Includes materials and labour for Land drainage."
"8.7.1 - Water mains supply","Context: Belongs to Group Element: 'External works' -> Element: 'External services'. Scope: Includes materials and labour for Water mains supply."
"8.7.2 - Electricity mains supply","Context: Belongs to Group Element: 'External works' -> Element: 'External services'. Scope: Includes materials and labour for Electricity mains supply."
"8.7.3 - External transformation devices","Context: Belongs to Group Element: 'External works' -> Element: 'External services'. Scope: Includes materials and labour for External transformation devices."
"8.7.4 - Electricity distribution to external plant and equipment","Context: Belongs to Group Element: 'External works' -> Element: 'External services'. Scope: Includes materials and labour for Electricity distribution to external plant and equipment."
"8.7.5 - Gas mains supply","Context: Belongs to Group Element: 'External works' -> Element: 'External services'. Scope: Includes materials and labour for Gas mains supply."
"8.7.6 - Telecommunication and other communication system connections","Context: Belongs to Group Element: 'External works' -> Element: 'External services'. Scope: Includes materials and labour for Telecommunication and other communication system connections."
"8.7.7 - External fuel storage and piped distribution systems","Context: Belongs to Group Element: 'External works' -> Element: 'External services'. Scope: Includes materials and labour for External fuel storage and piped distribution systems."
"8.7.8 - External security systems","Context: Belongs to Group Element: 'External works' -> Element: 'External services'. Scope: Includes materials and labour for External security systems."
"8.7.9 - External street lighting systems","Context: Belongs to Group Element: 'External works' -> Element: 'External services'. Scope: Includes materials and labour for External street lighting systems."
"8.7.10 - Local/district heating installations","Context: Belongs to Group Element: 'External works' -> Element: 'External services'. Scope: Includes materials and labour for Local/district heating installations."
"8.7.11 - Builder's work in connection with external services","Context: Belongs to Group Element: 'External works' -> Element: 'External services'. Scope: Includes materials and labour for Builder's work in connection with external services."
"8.8.1 - Minor building works","Context: Belongs to Group Element: 'External works' -> Element: 'Minor building works and ancillary buildings'. Scope: Includes materials and labour for Minor building works."
"8.8.2 - Ancillary buildings and structures","Context: Belongs to Group Element: 'External works' -> Element: 'Minor building works and ancillary buildings'. Scope: Includes materials and labour for Ancillary buildings and structures."
"8.8.3 - Underpinning for external site boundary walls","Context: Belongs to Group Element: 'External works' -> Element: 'Minor building works and ancillary buildings'. Scope: Includes materials and labour for Underpinning for external site boundary walls."
"9.1.1 - Site accommodation","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Employer's requirements'. Scope: Includes materials and labour for Site accommodation."
"9.1.2 - Site records","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Employer's requirements'. Scope: Includes materials and labour for Site records."
"9.1.3 - Completion and post-completion requirements","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Employer's requirements'. Scope: Includes materials and labour for Completion and post-completion requirements."
"9.2.1 - Management and staff","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Management and staff."
"9.2.2 - Site establishment","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Site establishment."
"9.2.3 - Temporary services","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Temporary services."
"9.2.4 - Security","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Security."
"9.2.5 - Safety and environmental protection","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Safety and environmental protection."
"9.2.6 - Control and protection","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Control and protection."
"9.2.7 - Mechanical plant","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Mechanical plant."
"9.2.8 - Temporary works","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Temporary works."
"9.2.9 - Site records","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Site records."
"9.2.10 - Completion and post-completion requirements","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Completion and post-completion requirements."
"9.2.11 - Cleaning","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Cleaning."
"9.2.12 - Fees and charges","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Fees and charges."
"9.2.13 - Site services","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Site services."
